estimate_id,paper_key,study_label,effect_size_sd,se,ci_lower,ci_upper,learning_domain,outcome,outcome_timing,n_treatment,n_control,n_total,treatment,control,notes,included_in_curated_subset,coding_notes,is_own_paper,comparison_type,outcome_with_ai,is_subgroup,subgroup,estimation_method,estimand,design_class
contractor_reyes_2026__contractor_and_reyes_2026_session_one_test,contractor_reyes_2026,"Contractor and Reyes (2026), Session one test",0.2655371626,0.1246398199,0.0212431156,0.5098312096,General knowledge,"Test score, Session 1 (immediate, no AI)",immediate,107,104,211,AI allowed while learning a new topic,No AI allowed,,true,,false,ai_vs_bau,false,false,,OLS (double-lasso controls),ITT,lab_rct
contractor_reyes_2026__contractor_and_reyes_2026_session_two_test,contractor_reyes_2026,"Contractor and Reyes (2026), Session two test",0.2676448758,0.1201465929,0.0321575537,0.503132198,General knowledge,"Test score, Session 2 (1 week later, no AI)",delayed,102,102,204,AI allowed while learning a new topic,No AI allowed,,true,,false,ai_vs_bau,false,false,,OLS (double-lasso controls),ITT,lab_rct
contractor_reyes_2026__contractor_and_reyes_2026_session_one_essay,contractor_reyes_2026,"Contractor and Reyes (2026), Session one essay",0.1733717335,0.1486643618,-0.1180104155,0.4647538825,General knowledge,"Essay quality, Session 1 (written with AI access)",immediate,,,209,AI allowed while learning a new topic,No AI allowed,,true,,false,ai_vs_bau,true,false,,OLS (double-lasso controls),ITT,lab_rct
contractor_reyes_2026__contractor_and_reyes_2026_session_two_essay,contractor_reyes_2026,"Contractor and Reyes (2026), Session two essay",0.2015626906,0.1371198462,-0.0671922079,0.4703175892,General knowledge,"Essay quality, Session 2 (1 week later, no AI)",delayed,,,197,AI allowed while learning a new topic,No AI allowed,,true,,false,ai_vs_bau,false,false,,OLS (double-lasso controls),ITT,lab_rct
barcaui_2025__est0,barcaui_2025,"Barcaui, Knowledge retention test (20-item MCQ, 4",-0.68,,-1.12,-0.24,General knowledge,"Knowledge retention test (20-item MCQ, 45 days post-intervention)",delayed,43,42,85,ChatGPT (AI-Assisted Group),Traditional learning (no AI),Negative = AI group learned less. 85 of 120 completed retention test. AI group spent 45% less time studying.,false,,false,ai_vs_bau,false,false,,t-test (mean comparison),ATE (complete-case),field_rct
bastani_etal_2025__est1,bastani_etal_2025,"Bastani et al., Normalized grade on assisted practice pr",0.48,0.108,,,Math,Normalized grade on assisted practice problems (0-1 scale),immediate,242,320,2848,GPT Base (unrestricted ChatGPT-style GPT-4 interface),No AI access (textbooks and notes only),"Classroom-level randomization. Regression with session/grader/grade/teacher FEs. Clustered SE at classroom level. n_total=2,848 is the regression OBSERVATION count (multiple sessions/exams per student); n_treat/n_ctrl are STUDENT counts, so they do not sum to n_total by design. [Codex audit note, 2026-07]",false,,false,ai_vs_bau,true,false,,OLS with prior GPA and session/grader/grade-level/teacher FE; SE clustered at classroom level,ITT,field_rct
bastani_etal_2025__est2,bastani_etal_2025,"Bastani et al., Normalized grade on assisted practice pr",1.26,0.112,,,Math,Normalized grade on assisted practice problems (0-1 scale),immediate,277,320,2848,"GPT Tutor (GPT-4 with guardrails: Socratic hints, teacher-designed prompts)",No AI access (textbooks and notes only),"Prompt includes correct solutions, common mistakes, instructions not to give away answers. n_total=2,848 is the regression OBSERVATION count (multiple sessions/exams per student); n_treat/n_ctrl are STUDENT counts, so they do not sum to n_total by design. [Codex audit note, 2026-07]",false,,false,ai_vs_bau,true,false,,OLS with prior GPA and session/grader/grade-level/teacher FE; SE clustered at classroom level,ITT,field_rct
bastani_etal_2025__est3,bastani_etal_2025,"Bastani et al., GPT Base",-0.19,0.079,,,Math,Normalized grade on unassisted exam (0-1 scale),immediate,242,320,2848,GPT Base (unrestricted ChatGPT-style GPT-4 interface),No AI access (textbooks and notes only),"KEY: Unrestricted GPT-4 during practice => 17% worse on unassisted exam. Measures learning transfer without AI. n_total=2,848 is the regression OBSERVATION count (multiple sessions/exams per student); n_treat/n_ctrl are STUDENT counts, so they do not sum to n_total by design. [Codex audit note, 2026-07]",true,,false,ai_vs_bau,false,false,,OLS with prior GPA and session/grader/grade-level/teacher FE; SE clustered at classroom level,ITT,field_rct
bastani_etal_2025__est4,bastani_etal_2025,"Bastani et al., GPT Tutor",-0.01,0.047,,,Math,Normalized grade on unassisted exam (0-1 scale),immediate,277,320,2848,GPT Tutor (GPT-4 with guardrails),No AI access (textbooks and notes only),"Guardrails mitigate negative learning effect. Point estimate near zero, not significant. n_total=2,848 is the regression OBSERVATION count (multiple sessions/exams per student); n_treat/n_ctrl are STUDENT counts, so they do not sum to n_total by design. [Codex audit note, 2026-07]",true,,false,ai_vs_bau,false,false,,OLS with prior GPA and session/grader/grade-level/teacher FE; SE clustered at classroom level,ITT,field_rct
de_simone_etal_2025__est5,de_simone_etal_2025,"De Simone et al., Total score (weighted) on final assessme",0.31,0.068,,,Language,Total score (weighted) on final assessment,immediate,,,654,AI tutoring sessions (Microsoft Copilot/GPT-4),Business-as-usual classroom instruction,"ITT. 6-week intervention, 12 sessions of 90 min. School FE and baseline controls. Regression N=654 (Table 2); 759 completers.",false,,false,ai_vs_bau,false,false,,"ANCOVA (OLS, baseline control + school FE)",ITT,field_rct
