paper_key,authors_short,authors_full,year,title,venue,pdf_filename,pdf_url,country,country_emoji,population_category,setting_detail,lab_vs_field,study_design,ai_tool,ai_design,n_total,incentives,learning_domain_primary,summary,image_filename,image_keywords,included_in_curated_subset,coding_notes,avg_effect,n_estimates,is_own_paper,summary_setup,summary_strategy,summary_results,design_class
contractor_reyes_2026,Contractor and Reyes,Zara Contractor and Germán Reyes,2026,Experimental Evidence on the Learning Impact of Generative AI,IZA WP #18055,Contractor & Reyes (2026-09) - AI Learning RCT.pdf,https://www.germanr.com/ai-learning,USA,🇺🇸,Undergraduate,"USA, Middlebury College undergraduates",Lab,RCT,ChatGPT,Unrestricted,211,"$50 for completing both sessions + lottery tickets ($100 each, 30 drawn) tied to test correctness and essay quality",General knowledge,"Two-session RCT at Middlebury College randomizing undergraduates to ChatGPT access while learning an unfamiliar topic. Measures effects on test scores and essay quality, immediately and one week later.",paper-contractor_reyes_2026.jpg,college students laptop classroom,true,,0.2232716697,9,false,"In-person computer-lab RCT at Middlebury College. Of 256 students assigned to AI-allowed or AI-forbidden conditions, 211 attended Session One and 205 attended both sessions. Students had a 35-minute learning phase on one of three unfamiliar topics (blockchain, carbon capture, CRISPR) and wrote an analytical essay. Only the AI-allowed group could use ChatGPT during Session One; both groups completed the knowledge tests and Session Two essay without AI. Incentives: $50 for completing both sessions plus lottery tickets ($100 each, 30 drawn) tied to test correctness and essay quality.","ITT estimated via OLS of outcomes on the AI-allowed indicator, with randomization-strata dummies and double-lasso-selected controls. Robust SEs. A complementary TOT/2SLS specification instruments AI use with random assignment to recover the LATE for compliers.","In the September 2026 version, immediate test scores rose by 0.292 SD (SE 0.121, p=.016). The one-week test effect was 0.202 SD (SE 0.116, p=.082). Overall essay-quality effects were positive but imprecise: 0.195 SD in Session One and 0.204 SD in Session Two. All five Session Two dimension estimates were positive; writing style had p=.058. Tests used 210 and 205 students; overall essay regressions used 210 and 198. The Session Two accuracy regression used 196.",lab_rct
barcaui_2025,Barcaui,Andre Barcaui,2025,ChatGPT as Cognitive Crutch,Social Sciences & Humanities Open,Barcaui (2025) - ChatGPT as Cognitive Crutch.pdf,,Brazil,🇧🇷,Undergraduate,"Brazil, undergraduate (business administration)",Field,RCT,ChatGPT (GPT-4),Unrestricted,120,None (voluntary participation),General knowledge,Compares ChatGPT-assisted learning vs traditional learning on knowledge retention 45 days after undergraduate business students studied AI/ML concepts.,paper-barcaui_2025.jpg,business school classroom Brazil,false,,-0.68,6,false,"120 undergraduate business administration students at UFRJ in Rio de Janeiro were randomized (n=60 per arm) to study AI/ML concepts (foundations, methods, applications, ethics) via either ChatGPT (GPT-4, no prompt-engineering guidance) or traditional resources (notes, library databases, non-AI search). Each participant prepared a 10-minute peer-group presentation over two weeks. Participation was voluntary with no course-grade incentive.",Independent-samples t-test on a surprise delayed 20-item MCQ retention test 45 days after the intervention; ANCOVA adjusts for self-reported study time. Three-phase RCT (Oct 2024-Jan 2025) with attrition: 85 of 120 completed the retention test (70.8% follow-up).,"AI-assisted students scored substantially lower than traditional learners on retention (57.5% vs 68.5%, d=-0.68, 95% CI [-1.12, -0.24], p=.002). They also spent ~45% less time studying; the AI penalty survives time-on-task adjustment.",field_rct
bastani_etal_2025,Bastani et al.,"Hamsa Bastani, Osbert Bastani, Alp Sungu, Haosen Ge, Özge Kabakcı, Rei Mariman",2025,Generative AI Without Guardrails Can Harm Learning,"PNAS, 122(26), e2422633122",Bastani et al (2025) - Generative AI Without Guardrails Can Harm Learning.pdf,,Turkey,🇹🇷,High school,"Turkey, high school (grades 9-11)",Field,RCT,GPT-4 (custom ChatGPT-like interface),Unrestricted,839,Course grade,Math,"High school students were randomized to GPT-4 (Base), GPT-4 with tutoring scaffolding (Tutor), or no AI for math practice. AI-only practice hurt unassisted exam performance.",paper-bastani_etal_2025.jpg,math classroom high school students,true,,0.385,7,false,"Field RCT with ~1,000 Turkish high-school students (grades 9-11) at a single school, randomized at the classroom level across three arms: GPT Base (unrestricted GPT-4), GPT Tutor (GPT-4 with guardrails and teacher-designed prompts), or control (course books and notes, no AI). Students completed four 90-minute sessions, each with a lecture, AI-assisted practice, and an unassisted closed-book exam. Performance counted toward course grades.","OLS at the student-session level (N=2,848) regressing normalized 0-1 grades on GPT Base and GPT Tutor indicators (control omitted), with prior GPA and session/grader/grade-level/teacher fixed effects, classroom-clustered SEs. Pre-registered primary outcome is the unassisted exam.","On assisted practice, GPT Base raised grades by 0.48 SD and GPT Tutor by 1.26 SD. But on the unassisted exam, GPT Base hurt performance by -0.19 SD (p<0.05) while GPT Tutor was essentially zero. Students used GPT Base as a 'crutch' (copying answers) and overestimated their own learning.",field_rct
de_simone_etal_2025,De Simone et al.,"Martín De Simone, Federico Tiberti, Maria Barron Rodriguez, Federico Manolio, Wuraola Mosuro, Eliot Dikoru",2025,From Chalkboards to Chatbots,Working paper,De Simone et al (2025) - From Chalkboards to Chatbots.pdf,,Nigeria,🇳🇬,High school,"Nigeria, senior secondary school",Field,RCT,Microsoft Copilot (GPT-4),tutoring,759,None (voluntary; ungraded research assessment),Language,"Nigerian senior secondary students got after-school sessions with an English-tutoring GPT-4 chatbot. Treatment group gained on English, AI knowledge, and digital skills; gains extended to a broader-curriculum school exam taken right after the program.",paper-de_simone_etal_2025.jpg,Nigerian students English class,true,,0.2513333333,5,false,"Student-level RCT in 9 Nigerian public secondary schools in Benin City. 1,328 first-year senior secondary students (~age 15) randomized (657 treatment, 671 control); 759 completed endline. Treatment: 12 after-school sessions (90 min, twice weekly for 6 weeks) in school computer labs using Microsoft Copilot (GPT-4) as a virtual English tutor with teacher-guided prompt toolkit. Control: business-as-usual classroom instruction. No participation incentives reported.","ITT via OLS with school fixed effects and second-term baseline exam score as a control; robust SEs. Robustness via Lee bounds, inverse-probability weighting, and value-added IV/LATE specifications using attendance days.","English skills rose by 0.238 SD and total weighted endline by 0.31 SD. Effects extended to the broader-curriculum third-term school exam taken the day after the program ended (0.206 SD) - transfer, not delayed retention. Larger effects for female, higher-baseline, and higher-SES students; benefits across the whole distribution.",field_rct
fan_etal_2025,Fan et al.,"Yizhou Fan, Luzhen Tang, Huixiao Le, Kejie Shen, Shufang Tan, Yueying Zhao, Yuan Shen, Xinyu Li, Dragan Gašević",2024,"Beware of metacognitive laziness: Effects of generative artificial intelligence on learning motivation, processes, and performance",British Journal of Educational Technology,Fan et al (2024) - BJET - Metacognitive Laziness.pdf,,China,🇨🇳,University (mixed),"China, university",Lab,RCT,ChatGPT 4.0,with guardrails,117,None (no performance-based incentive; compensation not reported),Writing,"University students wrote essays with ChatGPT vs checklist, expert, or no support. AI users produced better essays but showed no significant knowledge gain or transfer advantage; process data suggest ""metacognitive laziness"".",paper-fan_etal_2025.jpg,university students writing essay China,false,,0.34,7,false,"Lab study at Peking University with 117 university students (mean age 22.6; 55% undergraduate, 45% graduate; all L1 Chinese / English L2). Four-arm design with a shared baseline 2-hour reading-and-writing task followed by a 1-hour revision phase under one of four conditions: CN no support (n=30), AI = ChatGPT 4.0 with guardrails restricting it to task content (n=35), HE = human academic-writing expert (n=25), or CL = AI-powered checklist feedback tool (n=27). No course-grade incentive.","Random assignment to four arms; ANOVA + Tukey HSD on essay-score improvement (post-revision minus pre-revision), knowledge gain (10-item MCQ on AI in education), and knowledge transfer (10-item MCQ on AI in healthcare). Process mining of trace data via first-order Markov models.","AI group's essay improvement significantly exceeded all three other arms (d≈0.73 vs CN; F=4.55, p=0.005). But no significant group differences in knowledge gain (d≈-0.05) or knowledge transfer. Trace-data process mining showed AI students looped through tight 'revising-via-ChatGPT' patterns rather than reading and evaluating - the 'metacognitive laziness' the title warns of.",lab_rct
hausman_etal_2025,Hausman et al.,"Naomi Hausman, Oren Rigbi, Sarit Weisburd",2025,Generative AI's Impact on Student Achievement and Implications for Worker Productivity,CEPR DP 20206 / CESifo WP 11843,Hausman et al (2025) - CESifo - GenAI Impact on Student Achievement.pdf,,Israel,🇮🇱,University (mixed),"Israel, large research university; all BA/MA/MBA courses across faculties (2018-2024)",Field,"Quasi-experimental (DiD, cohort comparison)",ChatGPT (unrestricted access),Unrestricted,36000,Course grade,Mixed,"Difference-in-differences across pre- and post-ChatGPT cohorts at an Israeli university, comparing grades across courses with different AI exposure.",paper-hausman_etal_2025.jpg,university lecture hall Israel,false,not RCT; no SD effect,,11,false,"Administrative panel data from a large Israeli research university covering ~36,000 BA/MA/MBA students in ~6,000 courses university-wide across 6 academic years (2018-2019 through 2023-2024), spanning ChatGPT's November 2022 rollout. Treatment: 'AI-compatible' courses (≤60% of grade from in-class/lab work); control: AI-incompatible courses (≥90%). A survey of 91 business-school students shows ChatGPT adoption rising from ~30% in 2022-23 to ~80% in 2023-24.","Difference-in-differences event study with student fixed effects, comparing within-student grade changes across AI-compatible vs AI-incompatible courses before/after Nov 2022. Robustness via propensity-score matching. A cohort DiD isolates AI-specific human capital using cohort-2022-23 vs 2021-22 students' second-year advanced-course performance.","AI availability raised AI-compatible course grades by 0.6-1.5 points on the 0-100 scale (0.97 in 2022-23, 1.48 in 2023-24). Effects concentrated at the lower tail: 25th-percentile grades rose 2-3 points and failure rates dropped ~30-37%. Grade distribution compresses, eroding signal value. AI exposure in intro courses raised later AI-compatible grades but reduced AI-incompatible advanced-course grades, suggesting some basic human capital substitution.",observational
henkel_etal_2024,Henkel et al.,"Owen Henkel, Hannah Horne-Robinson, Nessie Kozhakhmetova, Amanda Lee",2024,AI Math Tutor Ghana,Working paper,Henkel et al (2024) - AI Math Tutor Ghana.pdf,,Ghana,🇬🇭,Middle school,"Ghana, grades 3-8 (11 Rising Academies schools; 5 treatment, 6 control)",Field,RCT,Rori (WhatsApp-based AI math tutor),tutoring,477,None,Math,WhatsApp-based math tutor (Rori) deployed to grades 3–8 students in Ghana. RCT measured math gains over the Feb–Aug 2023 school year (~8 months).,paper-henkel_etal_2024.jpg,African students mobile phone learning,false,,0.36,1,false,"School-level RCT in 11 Rising Academies schools in Ghana with ~500 students in grades 3-8 (5 treatment / 6 control schools; 477 students with baseline + endline). Treatment received two 30-min weekly sessions during study hall with Rori, a WhatsApp-based AI math tutor offering ~500 GPF-aligned micro-lessons. ~8-month intervention (Feb-Aug 2023). Control: regular math instruction without Rori. Marginal cost ~$5/student.","DiD using growth scores (endline minus baseline raw score) on a 35-item math assessment. Independent-samples t-test on growth; Cohen's d with pooled SD (Morris 2008). Baseline equivalence verified on test scores, gender, and age.","Treatment growth was 5.13 points vs control's 2.12 (d=0.36, p<0.001), roughly equivalent to an additional year of schooling. Some ceiling effects observed for higher-grade students.",field_rct
kazemitabaar_etal_2023,Kazemitabaar et al.,"Majeed Kazemitabaar, Justin Chow, Carl Ka To Ma, Barbara J. Ericson, David Weintrop, Tovi Grossman",2023,AI Code Generators Novice Learners,CHI 2023,Kazemitabaar et al (2023) - AI Code Generators Novice Learners.pdf,,Canada,🇨🇦,Middle school,"Canada (recruited from coding camps in two North American cities), online via Google Meet; ages 10-17 (M=12.5)",Online,RCT,OpenAI Codex,Unrestricted,69,None (flat $50 gift card),Coding,"Children ages 10–17 learned Python with vs without OpenAI Codex code-generator assistance. Treatment showed higher gains during training, near-equal immediate post-test scores, and a modest non-significant edge at 1-week retention.",paper-kazemitabaar_etal_2023.jpg,kids learning to code laptop,true,non-standard outcome; SE back-calculated from N and Cohen's d,0.6766666667,3,false,"Online matched-groups RCT (run remotely over Google Meet from Canada) with 69 novice coders ages 10-17 (mean 12.5) recruited from coding camps. None had prior text-based programming. Three-week, ten-session study learning Python via the Coding Steps platform. Codex group (n=33) had unrestricted OpenAI Codex during training only; Baseline group (n=36) had no AI. $50 gift-card compensation. Outcomes at training, immediate post-test (1 day later), and retention (1 week later) - all on Python authoring and modifying tasks.","Matched-groups design: pairs balanced on Scratch pre-test scores, random assignment within pairs. Two-rater independent coding (79% full agreement). Independent-samples t-tests with Cohen's d; Bonferroni-adjusted alpha.","Training-phase authoring (with AI): Codex 80.1% vs baseline 44.4% (d=1.67). But on the immediate unassisted post-test, no difference (d=-0.05 authoring, d=0.01 modifying; positive favors Codex). On 1-week retention, modest non-significant Codex advantages (d=0.41 modifying, d=0.38 MCQ overall). Codex-High learners benefited most, suggesting prior competency moderates AI's learning effects.",online_rct
kestin_etal_2025,Kestin et al.,"Greg Kestin, Kelly Miller, Anna Klales, Timothy Milbourne, Gregorio Ponti",2025,AI Tutoring Outperforms Active Learning,Scientific Reports,Kestin et al (2025) - AI Tutoring Outperforms Active Learning.pdf,,USA,🇺🇸,Undergraduate,"USA, Harvard University, undergraduate physics",Field,RCT,"GPT-4 (custom AI tutor platform ""PS2 Pal"")",Socratic / with guardrails,194,Participation credit (not graded),Science,Harvard physics undergraduates received either AI-tutored instruction or active-learning instruction. AI tutor outperformed active learning on immediate post-test.,paper-kestin_etal_2025.jpg,physics classroom Harvard students,false,no SE/CI; active control,0.815,2,false,"Crossover RCT in Harvard's PS2 introductory physics for life sciences, Fall 2023, N=194 of 233 enrolled. Two lessons (surface tension, fluid flow) in weeks 9-10. AI tutor 'PS2 Pal' (GPT-4 with engineered system prompts, scaffolded sequential problem-guidance, and pre-written step-by-step solutions to mitigate hallucination) versus in-class active learning (peer instruction, group work, instructor feedback). Both arms used identical content. Pre/post-test performance did not affect course grades (participation credit only).","Within-student crossover: each student experienced both conditions. Randomization at peer-instruction-group level (2-3 students). Mann-Whitney rank-sum tests on post-test scores, linear regression controlling for pre-test/midterm/FCI/topic, and quantile regression to address ceiling effects.","AI group post-test median was 4.5 vs in-class 3.5 (pre-test 2.75); median learning gains more than double with AI (z=-5.6, p<10^-8). Linear regression effect size 0.63 SD; quantile regression (ceiling-corrected) 0.73-1.3 SD. AI median time-on-task was 49 min vs 60 min in-class. 83% rated AI explanations as good as or better than human instructors.",field_rct
kim_etal_2025,Kim et al.,Kim et al.,2025,Generative AI Can Improve Performance and Engagement without Harming Learning,Working paper,Kim et al (2025) - GenAI Can Improve Performance Without Harming Learning.pdf,,China,🇨🇳,Middle school,"China, K-12 (avg grade 6.7), Squirrel AI learning centers",Field,quasi-experiment,Squirrel AI post-solution GenAI tutor,tutoring,18904,None,Math,"Quasi-experimental study at Squirrel AI learning centers in China, K-12 students. Compared the post-solution GenAI tutor mode to the baseline digital practice mode (correctness feedback + static solutions).",paper-kim_etal_2025.jpg,China classroom tablets students,false,not RCT; no SD effect; non-standard outcome; active control,0.2,2,false,"18,904 K-12 students (mean grade 6.7, median 7) using Squirrel AI, a Chinese commercial K-12 math platform at brick-and-mortar learning centers. The platform introduced a post-solution GenAI tutor (activated only after a student submits an answer, for debriefing). Sample yields 2.1 million student-day observations in 2024. A capacity-constrained rollout meant not all tablets at a center were upgraded.","Two-way fixed effects DiD with student and date fixed effects, exploiting quasi-random rollout: treated = ever received AI-tutor access; control = never used AI-tutor mode. SEs clustered at the student level. Event-study for parallel-trends checks; IV using capacity-driven AI availability.","Treated students solve ~35.8% more problems daily (log coefficient 0.31, SE 0.01), spend 3.9% less time per problem, and have correctness rates 2.6 percentage points higher (~3.6% relative). Gains concentrated among low-baseline-performance students; diminishing returns to very intensive AI use; long-run correctness trajectories steeper for treated, consistent with skill accumulation.",observational
