paper_key,outcome_idx,outcome_name,treatment,control,outcome_var,metric_type,effect,se,ci_lo,ci_hi,n,direction,outcome_type,notes
padmakumar_he_2024,1,"Corpus homogenization (Rouge-L, key point)",InstructGPT-assisted essays,Solo essays,Pairwise Rouge-L on key points,rouge,0.012400000000000022,,,,200,-1,homogenization,p<0.05; InstructGPT 0.1660 vs Solo 0.1536
padmakumar_he_2024,2,"Corpus homogenization (Rouge-L, GPT3 vs Solo)",GPT3-assisted essays,Solo essays,Pairwise Rouge-L on key points,rouge,0.004200000000000009,,,,200,0,homogenization,ns
padmakumar_he_2024,3,"Corpus homogenization (BertScore, key point)",InstructGPT,Solo,BertScore similarity (key point),bertscore,0.0132000000000001,,,,200,-1,homogenization,p<0.05
padmakumar_he_2024,4,"Corpus homogenization (Rouge-L, essay-level)",InstructGPT,Solo,Essay-level Rouge-L,rouge,0.012300000000000005,,,,200,-1,homogenization,p<0.05
padmakumar_he_2024,5,"Corpus homogenization (BertScore, essay-level)",InstructGPT,Solo,Essay-level BertScore,bertscore,0.02739999999999998,,,,200,-1,homogenization,p<0.05
padmakumar_he_2024,6,Lexical diversity (unique 2-grams),InstructGPT,Solo,Fraction unique 2-grams,distinct_n,-0.02300000000000002,,,,200,-1,diversity,permutation p<0.05
padmakumar_he_2024,7,Lexical diversity (unique 3-grams),InstructGPT,Solo,Fraction unique 3-grams,distinct_n,-0.029000000000000026,,,,200,-1,diversity,
padmakumar_he_2024,8,Key-point diversity (Rouge-L 0.6 thr),InstructGPT,Solo,Fraction unique key points (Rouge-L thr 0.6),other,-0.06399999999999995,,,,200,-1,diversity,permutation p<0.05
padmakumar_he_2024,9,Key-point diversity (BertScore 0.2 thr),InstructGPT,Solo,Fraction unique key points (BertScore thr 0.2),other,-0.040000000000000036,,,,200,-1,diversity,
padmakumar_he_2024,10,Compression ratio (LZMA),InstructGPT,Solo,LZMA compression ratio,other,-0.01200000000000001,,,,200,-1,diversity,
padmakumar_he_2024,11,Self-diversity of suggestions (Rouge-L),InstructGPT suggestions,GPT3 suggestions,Avg pairwise Rouge-L of 5 generations,rouge,0.09000000000000001,,,,,-1,diversity,RLHF model less diverse; p<0.05
padmakumar_he_2024,12,Essay quality — Relevance (1-5),InstructGPT,Solo,Human rating: Relevance,raw_mean,-0.20000000000000018,,,,30,0,individual_creativity,ns
padmakumar_he_2024,13,Essay quality — Depth (1-5),InstructGPT,Solo,Human rating: Depth of discussion,raw_mean,-0.15000000000000036,,,,30,0,individual_creativity,ns
padmakumar_he_2024,14,Perplexity (GPT2),InstructGPT,Solo,GPT2 perplexity,other,-4.806999999999999,,,,200,-1,diversity,Lower = closer to LM distribution
padmakumar_he_2024,15,Sentence length,InstructGPT,Solo,Mean words per sentence,raw_mean,-1,0.25,,,200,-1,other,
doshi_hauser_2024,1,Novelty (1 AI idea),Human + 1 GenAI idea,Human-only,Novelty index (9-pt),raw_mean,0.207,,,,293,1,individual_creativity,OLS coef; +5.4%; p=0.021
doshi_hauser_2024,2,Novelty (5 AI ideas),Human + 5 GenAI ideas,Human-only,Novelty index,raw_mean,0.311,,,,293,1,individual_creativity,+8.1%; p<0.001
doshi_hauser_2024,3,Usefulness (1 AI idea),Human + 1 GenAI idea,Human-only,Usefulness index,raw_mean,0.185,,,,293,1,individual_creativity,+3.7%; p=0.039
doshi_hauser_2024,4,Usefulness (5 AI ideas),Human + 5 GenAI ideas,Human-only,Usefulness index,raw_mean,0.453,,,,293,1,individual_creativity,+9.0%; p<0.001
doshi_hauser_2024,5,Enjoyability (1 AI idea),Human + 1 GenAI idea,Human-only,How enjoyable,raw_mean,0.216,,,,293,1,individual_creativity,p=0.028
doshi_hauser_2024,6,Enjoyability (5 AI ideas),Human + 5 GenAI ideas,Human-only,How enjoyable,raw_mean,0.375,,,,293,1,individual_creativity,p<0.001
doshi_hauser_2024,7,Plot twist (1 AI idea),Human + 1 GenAI idea,Human-only,Has plot twist,raw_mean,0.384,,,,293,1,individual_creativity,p<0.001
doshi_hauser_2024,8,Plot twist (5 AI ideas),Human + 5 GenAI ideas,Human-only,Has plot twist,raw_mean,0.468,,,,293,1,individual_creativity,p<0.001
doshi_hauser_2024,9,Well-written (5 AI ideas),Human + 5 GenAI ideas,Human-only,How well written,raw_mean,0.372,,,,293,1,individual_creativity,p<0.001
doshi_hauser_2024,10,Changed expectations,Human + 5 GenAI ideas,Human-only,Changed reader expectations,raw_mean,0.251,,,,293,1,individual_creativity,p=0.005
doshi_hauser_2024,11,"Boring (5 AI ideas, inv.)",Human + 5 GenAI ideas,Human-only,How boring,raw_mean,-0.2,,,,293,1,individual_creativity,Less boring; p=0.049
doshi_hauser_2024,12,Story similarity to others (1 AI),Human + 1 GenAI idea,Human-only,Cosine similarity within condition (×100),pairwise_cosine,0.871,,,,293,-1,homogenization,+10.7% of HO range; p<0.001
doshi_hauser_2024,13,Story similarity to others (5 AI),Human + 5 GenAI ideas,Human-only,Cosine similarity within condition (×100),pairwise_cosine,0.718,,,,293,-1,homogenization,+8.9% of HO range; p=0.003
doshi_hauser_2024,14,Similarity to GenAI idea (1),Human + 1 GenAI idea,Human-only,Cosine similarity to AI idea (×100),pairwise_cosine,4.29,,,,293,-1,homogenization,+5.2%; p<0.001
doshi_hauser_2024,15,Similarity to GenAI idea (5),Human + 5 GenAI ideas,Human-only,Cosine similarity to AI idea (×100),pairwise_cosine,4.11,,,,293,-1,homogenization,+5.0%; p<0.001
doshi_hauser_2024,16,Novelty: Low-DAT writers (1 AI),Low-DAT + 1 AI idea,Low-DAT human-only,Novelty index,raw_mean,,,,,,1,individual_creativity,+6.3% (heterogeneity by writer creativity)
doshi_hauser_2024,17,Novelty: Low-DAT writers (5 AI),Low-DAT + 5 AI ideas,Low-DAT human-only,Novelty index,raw_mean,,,,,,1,individual_creativity,+10.7%
doshi_hauser_2024,18,Well-written: Low-DAT (5 AI),Low-DAT + 5 AI ideas,Low-DAT human-only,Well-written,raw_mean,,,,,,1,individual_creativity,+26.6%
doshi_hauser_2024,19,Enjoyment: Low-DAT (5 AI),Low-DAT + 5 AI ideas,Low-DAT human-only,Enjoyment,raw_mean,,,,,,1,individual_creativity,+22.6%
anderson_shah_kreminski_2024,1,Group-level semantic homogenization,ChatGPT (LLM CST),Oblique Strategies (non-AI CST),Cosine similarity of idea to group avg embedding,cohens_d,0.47,,,,33,-1,homogenization,"ChatGPT more homogenized; t(32)=2.15, p=0.038"
