estimate_id,paper_key,authors,year,study_label,effect_size_sd,se,ci_lower,ci_upper,n_treatment,n_control,n_total,learning_domain,outcome,outcome_timing,treatment,control,comparison_type,estimand,estimation_method,outcome_with_ai,is_subgroup,subgroup,coding_notes,design_class,included_in_curated_subset,notes,country,population_category,lab_vs_field,study_design,ai_tool,ai_design,incentives,venue,study_sample_n,study_sample_unit,study_sample_review_status,study_recruited_n,study_randomized_n,estimate_analyzed_n,estimate_sample_unit,estimate_sample_review_status,source_document,source_url,source_version,source_locator,extraction_date,review_date,provenance_review_status,provenance_review_basis,derivation_notes,study_sample_review_basis,study_sample_notes,study_sample_missing_reasons,estimate_sample_review_basis,estimate_sample_notes,estimate_sample_missing_reasons,provenance_missing_reasons,release_id,release_date,view_url,selection
contractor_reyes_2026__contractor_and_reyes_2026_session_one_test,contractor_reyes_2026,Zara Contractor and Germán Reyes,2026,"Contractor and Reyes (2026), Session one test",0.2655371626,0.1246398199,0.0212431156,0.5098312096,107,104,211,General knowledge,"Test score, Session 1 (immediate, no AI)",immediate,AI allowed while learning a new topic,No AI allowed,ai_vs_bau,ITT,OLS (double-lasso controls),false,false,,,lab_rct,true,,USA,Undergraduate,Lab,RCT,ChatGPT,Unrestricted,"$50 for completing both sessions + lottery tickets ($100 each, 30 drawn) tied to test correctness and essay quality",IZA WP #18055,211,participants,reviewed,,,211,participants,reviewed,Contractor & Reyes (2026) - AI Learning RCT.pdf,https://www.germanr.com/ai-learning,,code/build_website_data.py load_own_estimates: test_score1/s1_student; arm_ns cites paper Table 4 ITT columns.,,2026-09-23,unreviewed,local_coding,"Current builder divides beta and its robust SE by sd_ctrl, then forms a normal 95% CI. This records the implemented derivation, not an independent audit of the underlying regression output.",local_coding,Current setup summary and Session 1 test coding identify 211 participants. This does not establish the number initially recruited or randomized. Old subagent inputs describe an earlier 210-person version and are not used here.,"{""recruited_n"":""Not separately verified."",""randomized_n"":""Not separately verified.""}",local_coding,Session 1 test analyzed sample. Current builder arm_ns cites paper Table 4 ITT columns; endpoint N agrees with current generated coding.,{},{},2026-09-23.1,2026-09-23,,"{""scope"":""full"",""dataset"":""learning""}"
contractor_reyes_2026__contractor_and_reyes_2026_session_two_test,contractor_reyes_2026,Zara Contractor and Germán Reyes,2026,"Contractor and Reyes (2026), Session two test",0.2676448758,0.1201465929,0.0321575537,0.503132198,102,102,204,General knowledge,"Test score, Session 2 (1 week later, no AI)",delayed,AI allowed while learning a new topic,No AI allowed,ai_vs_bau,ITT,OLS (double-lasso controls),false,false,,,lab_rct,true,,USA,Undergraduate,Lab,RCT,ChatGPT,Unrestricted,"$50 for completing both sessions + lottery tickets ($100 each, 30 drawn) tied to test correctness and essay quality",IZA WP #18055,211,participants,reviewed,,,204,participants,reviewed,Contractor & Reyes (2026) - AI Learning RCT.pdf,https://www.germanr.com/ai-learning,,code/build_website_data.py load_own_estimates: test_score2/s2_student; arm_ns cites paper Table 4 ITT columns.,,2026-09-23,unreviewed,local_coding,"Current builder divides beta and its robust SE by sd_ctrl, then forms a normal 95% CI. This records the implemented derivation, not an independent audit of the underlying regression output.",local_coding,Current setup summary and Session 1 test coding identify 211 participants. This does not establish the number initially recruited or randomized. Old subagent inputs describe an earlier 210-person version and are not used here.,"{""recruited_n"":""Not separately verified."",""randomized_n"":""Not separately verified.""}",local_coding,"Session 2 test analyzed sample, one week later. Different from the Session 1 count of 211. Current builder arm_ns cites paper Table 4 ITT columns.",{},{},2026-09-23.1,2026-09-23,,"{""scope"":""full"",""dataset"":""learning""}"
contractor_reyes_2026__contractor_and_reyes_2026_session_one_essay,contractor_reyes_2026,Zara Contractor and Germán Reyes,2026,"Contractor and Reyes (2026), Session one essay",0.1733717335,0.1486643618,-0.1180104155,0.4647538825,,,209,General knowledge,"Essay quality, Session 1 (written with AI access)",immediate,AI allowed while learning a new topic,No AI allowed,ai_vs_bau,ITT,OLS (double-lasso controls),true,false,,,lab_rct,true,,USA,Undergraduate,Lab,RCT,ChatGPT,Unrestricted,"$50 for completing both sessions + lottery tickets ($100 each, 30 drawn) tied to test correctness and essay quality",IZA WP #18055,211,participants,reviewed,,,209,unknown,unreviewed,Contractor & Reyes (2026) - AI Learning RCT.pdf,https://www.germanr.com/ai-learning,,,,,unreviewed,,,local_coding,Current setup summary and Session 1 test coding identify 211 participants. This does not establish the number initially recruited or randomized. Old subagent inputs describe an earlier 210-person version and are not used here.,"{""recruited_n"":""Not separately verified."",""randomized_n"":""Not separately verified.""}",,,{},{},2026-09-23.1,2026-09-23,,"{""scope"":""full"",""dataset"":""learning""}"
contractor_reyes_2026__contractor_and_reyes_2026_session_two_essay,contractor_reyes_2026,Zara Contractor and Germán Reyes,2026,"Contractor and Reyes (2026), Session two essay",0.2015626906,0.1371198462,-0.0671922079,0.4703175892,,,197,General knowledge,"Essay quality, Session 2 (1 week later, no AI)",delayed,AI allowed while learning a new topic,No AI allowed,ai_vs_bau,ITT,OLS (double-lasso controls),false,false,,,lab_rct,true,,USA,Undergraduate,Lab,RCT,ChatGPT,Unrestricted,"$50 for completing both sessions + lottery tickets ($100 each, 30 drawn) tied to test correctness and essay quality",IZA WP #18055,211,participants,reviewed,,,197,unknown,unreviewed,Contractor & Reyes (2026) - AI Learning RCT.pdf,https://www.germanr.com/ai-learning,,,,,unreviewed,,,local_coding,Current setup summary and Session 1 test coding identify 211 participants. This does not establish the number initially recruited or randomized. Old subagent inputs describe an earlier 210-person version and are not used here.,"{""recruited_n"":""Not separately verified."",""randomized_n"":""Not separately verified.""}",,,{},{},2026-09-23.1,2026-09-23,,"{""scope"":""full"",""dataset"":""learning""}"
barcaui_2025__est0,barcaui_2025,Andre Barcaui,2025,"Barcaui, Knowledge retention test (20-item MCQ, 4",-0.68,,-1.12,-0.24,43,42,85,General knowledge,"Knowledge retention test (20-item MCQ, 45 days post-intervention)",delayed,ChatGPT (AI-Assisted Group),Traditional learning (no AI),ai_vs_bau,ATE (complete-case),t-test (mean comparison),false,false,,,field_rct,false,Negative = AI group learned less. 85 of 120 completed retention test. AI group spent 45% less time studying.,Brazil,Undergraduate,Field,RCT,ChatGPT (GPT-4),Unrestricted,None (voluntary participation),Social Sciences & Humanities Open,120,unknown,unreviewed,,,85,unknown,unreviewed,Barcaui (2025) - ChatGPT as Cognitive Crutch.pdf,,,,,,unreviewed,,Negative = AI group learned less. 85 of 120 completed retention test. AI group spent 45% less time studying.,,,{},,,{},{},2026-09-23.1,2026-09-23,,"{""scope"":""full"",""dataset"":""learning""}"
bastani_etal_2025__est1,bastani_etal_2025,"Hamsa Bastani, Osbert Bastani, Alp Sungu, Haosen Ge, Özge Kabakcı, Rei Mariman",2025,"Bastani et al., Normalized grade on assisted practice pr",0.48,0.108,0.26832,0.69168,242,320,2848,Math,Normalized grade on assisted practice problems (0-1 scale),immediate,GPT Base (unrestricted ChatGPT-style GPT-4 interface),No AI access (textbooks and notes only),ai_vs_bau,ITT,OLS with prior GPA and session/grader/grade-level/teacher FE; SE clustered at classroom level,true,false,,,field_rct,false,"Classroom-level randomization. Regression with session/grader/grade/teacher FEs. Clustered SE at classroom level. n_total=2,848 is the regression OBSERVATION count (multiple sessions/exams per student); n_treat/n_ctrl are STUDENT counts, so they do not sum to n_total by design. [Codex audit note, 2026-07]",Turkey,High school,Field,RCT,GPT-4 (custom ChatGPT-like interface),Unrestricted,Course grade,"PNAS, 122(26), e2422633122",839,unknown,unreviewed,,,2848,unknown,unreviewed,Bastani et al (2025) - Generative AI Without Guardrails Can Harm Learning.pdf,,,,,,unreviewed,,"Classroom-level randomization. Regression with session/grader/grade/teacher FEs. Clustered SE at classroom level. n_total=2,848 is the regression OBSERVATION count (multiple sessions/exams per student); n_treat/n_ctrl are STUDENT counts, so they do not sum to n_total by design. [Codex audit note, 2026-07]",,,{},,,{},{},2026-09-23.1,2026-09-23,,"{""scope"":""full"",""dataset"":""learning""}"
bastani_etal_2025__est2,bastani_etal_2025,"Hamsa Bastani, Osbert Bastani, Alp Sungu, Haosen Ge, Özge Kabakcı, Rei Mariman",2025,"Bastani et al., Normalized grade on assisted practice pr",1.26,0.112,1.04048,1.47952,277,320,2848,Math,Normalized grade on assisted practice problems (0-1 scale),immediate,"GPT Tutor (GPT-4 with guardrails: Socratic hints, teacher-designed prompts)",No AI access (textbooks and notes only),ai_vs_bau,ITT,OLS with prior GPA and session/grader/grade-level/teacher FE; SE clustered at classroom level,true,false,,,field_rct,false,"Prompt includes correct solutions, common mistakes, instructions not to give away answers. n_total=2,848 is the regression OBSERVATION count (multiple sessions/exams per student); n_treat/n_ctrl are STUDENT counts, so they do not sum to n_total by design. [Codex audit note, 2026-07]",Turkey,High school,Field,RCT,GPT-4 (custom ChatGPT-like interface),Unrestricted,Course grade,"PNAS, 122(26), e2422633122",839,unknown,unreviewed,,,2848,unknown,unreviewed,Bastani et al (2025) - Generative AI Without Guardrails Can Harm Learning.pdf,,,,,,unreviewed,,"Prompt includes correct solutions, common mistakes, instructions not to give away answers. n_total=2,848 is the regression OBSERVATION count (multiple sessions/exams per student); n_treat/n_ctrl are STUDENT counts, so they do not sum to n_total by design. [Codex audit note, 2026-07]",,,{},,,{},{},2026-09-23.1,2026-09-23,,"{""scope"":""full"",""dataset"":""learning""}"
bastani_etal_2025__est3,bastani_etal_2025,"Hamsa Bastani, Osbert Bastani, Alp Sungu, Haosen Ge, Özge Kabakcı, Rei Mariman",2025,"Bastani et al., GPT Base",-0.19,0.079,-0.34484000000000004,-0.03516,242,320,2848,Math,Normalized grade on unassisted exam (0-1 scale),immediate,GPT Base (unrestricted ChatGPT-style GPT-4 interface),No AI access (textbooks and notes only),ai_vs_bau,ITT,OLS with prior GPA and session/grader/grade-level/teacher FE; SE clustered at classroom level,false,false,,,field_rct,true,"KEY: Unrestricted GPT-4 during practice => 17% worse on unassisted exam. Measures learning transfer without AI. n_total=2,848 is the regression OBSERVATION count (multiple sessions/exams per student); n_treat/n_ctrl are STUDENT counts, so they do not sum to n_total by design. [Codex audit note, 2026-07]",Turkey,High school,Field,RCT,GPT-4 (custom ChatGPT-like interface),Unrestricted,Course grade,"PNAS, 122(26), e2422633122",839,unknown,unreviewed,,,2848,unknown,unreviewed,Bastani et al (2025) - Generative AI Without Guardrails Can Harm Learning.pdf,,,,,,unreviewed,,"KEY: Unrestricted GPT-4 during practice => 17% worse on unassisted exam. Measures learning transfer without AI. n_total=2,848 is the regression OBSERVATION count (multiple sessions/exams per student); n_treat/n_ctrl are STUDENT counts, so they do not sum to n_total by design. [Codex audit note, 2026-07]",,,{},,,{},{},2026-09-23.1,2026-09-23,,"{""scope"":""full"",""dataset"":""learning""}"
bastani_etal_2025__est4,bastani_etal_2025,"Hamsa Bastani, Osbert Bastani, Alp Sungu, Haosen Ge, Özge Kabakcı, Rei Mariman",2025,"Bastani et al., GPT Tutor",-0.01,0.047,-0.10211999999999999,0.08212,277,320,2848,Math,Normalized grade on unassisted exam (0-1 scale),immediate,GPT Tutor (GPT-4 with guardrails),No AI access (textbooks and notes only),ai_vs_bau,ITT,OLS with prior GPA and session/grader/grade-level/teacher FE; SE clustered at classroom level,false,false,,,field_rct,true,"Guardrails mitigate negative learning effect. Point estimate near zero, not significant. n_total=2,848 is the regression OBSERVATION count (multiple sessions/exams per student); n_treat/n_ctrl are STUDENT counts, so they do not sum to n_total by design. [Codex audit note, 2026-07]",Turkey,High school,Field,RCT,GPT-4 (custom ChatGPT-like interface),Unrestricted,Course grade,"PNAS, 122(26), e2422633122",839,unknown,unreviewed,,,2848,unknown,unreviewed,Bastani et al (2025) - Generative AI Without Guardrails Can Harm Learning.pdf,,,,,,unreviewed,,"Guardrails mitigate negative learning effect. Point estimate near zero, not significant. n_total=2,848 is the regression OBSERVATION count (multiple sessions/exams per student); n_treat/n_ctrl are STUDENT counts, so they do not sum to n_total by design. [Codex audit note, 2026-07]",,,{},,,{},{},2026-09-23.1,2026-09-23,,"{""scope"":""full"",""dataset"":""learning""}"
de_simone_etal_2025__est5,de_simone_etal_2025,"Martín De Simone, Federico Tiberti, Maria Barron Rodriguez, Federico Manolio, Wuraola Mosuro, Eliot Dikoru",2025,"De Simone et al., Total score (weighted) on final assessme",0.31,0.068,0.17672,0.44328,,,654,Language,Total score (weighted) on final assessment,immediate,AI tutoring sessions (Microsoft Copilot/GPT-4),Business-as-usual classroom instruction,ai_vs_bau,ITT,"ANCOVA (OLS, baseline control + school FE)",false,false,,,field_rct,false,"ITT. 6-week intervention, 12 sessions of 90 min. School FE and baseline controls. Regression N=654 (Table 2); 759 completers.",Nigeria,High school,Field,RCT,Microsoft Copilot (GPT-4),tutoring,None (voluntary; ungraded research assessment),Working paper,759,unknown,unreviewed,,,654,unknown,unreviewed,De Simone et al (2025) - From Chalkboards to Chatbots.pdf,,,,,,unreviewed,,"ITT. 6-week intervention, 12 sessions of 90 min. School FE and baseline controls. Regression N=654 (Table 2); 759 completers.",,,{},,,{},{},2026-09-23.1,2026-09-23,,"{""scope"":""full"",""dataset"":""learning""}"
