paper_key,authors_short,year,title,venue,doi_or_url,design_class,theme,outcome_focus,stub,md_filename,n_outcomes_extracted,n_total,included_in_curated_subset
padmakumar_he_2024,Padmakumar & He,2024,Does Writing With Language Models Reduce Content Diversity?,ICLR 2024,https://arxiv.org/abs/2309.05196,RCT,Anchor — homogenization,Essay content diversity,false,Padmakumar and He (2024) - Does Writing With Language Models Reduce Content Diversity.md,15,200,true
doshi_hauser_2024,Doshi & Hauser,2024,Generative AI Enhances Individual Creativity but Reduces the Collective Diversity of Novel Content,Science Advances,https://doi.org/10.1126/sciadv.adn5290,RCT,Anchor — homogenization,Story creativity vs collective diversity,false,Doshi and Hauser (2024) - Generative AI Enhances Individual Creativity.md,19,293,true
anderson_shah_kreminski_2024,"Anderson, Shah & Kreminski",2024,Homogenization Effects of LLMs on Human Creative Ideation,ACM C&C 2024,https://doi.org/10.1145/3635636.3656204,RCT,Anchor — homogenization,Idea similarity across users,false,Anderson Shah Kreminski (2024) - Homogenization Effects of LLMs on Human Creative Ideation.md,10,33,false
moon_green_kushlev_2025,"Moon, Green & Kushlev",2025,The Homogenizing Effect of LLMs on Creative Diversity,CHB: Artificial Humans 6,https://doi.org/10.1016/j.chbah.2025.100207,RCT,Anchor — homogenization,Creative output similarity across users,false,Moon Green Kushlev (2025) - Homogenizing Effect of LLMs on Creative Diversity.md,15,1600,true
meincke_nave_terwiesch_2025,"Meincke, Nave & Terwiesch",2025,ChatGPT Decreases Idea Diversity in Brainstorming,Nature Human Behaviour,https://doi.org/10.1038/s41562-025-02173-x,RCT,Anchor — homogenization,Brainstorm idea diversity,false,Meincke et al (2025) - ChatGPT Decreases Idea Diversity in Brainstorming.md,12,288,true
moon_etal_2026,Moon et al.,2026,The Creative Link Between Words and Ideas is Weakening in the AI Era,PsyArXiv,https://doi.org/10.31234/osf.io/jsz58_v6,Hybrid,Anchor — homogenization,Word-idea associative diversity,false,Moon et al (2026) - The Creative Link Between Words and Ideas.md,23,312388,false
lee_chung_2024,Lee & Chung,2024,An Empirical Investigation of the Impact of ChatGPT on Creativity,Nature Human Behaviour,https://doi.org/10.1038/s41562-024-01953-1,RCT,Counterpoints / nuance,Originality and quality of creative output,false,Lee and Chung (2024) - Empirical Investigation of ChatGPT on Creativity.md,17,383,true
boussioux_etal_2024,Boussioux et al.,2024,The Crowdless Future? Generative AI and Creative Problem-Solving,Organization Science,https://doi.org/10.1287/orsc.2023.18430,RCT,Counterpoints / nuance,Solution quality and novelty,false,Boussioux et al (2024) - The Crowdless Future Generative AI and Creative Problem-Solving.md,16,234,true
ashkinaze_etal_2025,Ashkinaze et al.,2025,"How AI Ideas Affect the Creativity, Diversity, and Evolution of Human Ideas",ACM CI 2025,https://doi.org/10.1145/3715928.3737481,RCT,Counterpoints / nuance,"Creativity, diversity, idea evolution over time",false,Ashkinaze et al (2025) - How AI Ideas Affect Creativity Diversity Evolution.md,9,844,true
girotra_etal_2023,Girotra et al.,2023,Ideas Are Dimes a Dozen: Large Language Models for Idea Generation in Innovation,SSRN 4526071,https://doi.org/10.2139/ssrn.4526071,Hybrid,Fixes / mechanisms,"Idea quantity, quality, novelty",false,Girotra Meincke Terwiesch Ulrich (2023) - Ideas Are Dimes a Dozen.md,14,400,false
